store_id,category_id,week,weekly_sales,units_sold,is_promo
1,1,2023-01-06,642.98,69,0
1,1,2023-01-13,1218.34,86,1
1,1,2023-01-20,889.33,93,0
1,1,2023-01-27,587.23,44,0
1,1,2023-02-03,914.53,85,0
1,1,2023-02-10,1246.64,94,0
1,1,2023-02-17,563.35,41,0
1,1,2023-02-24,1241.62,142,0
1,1,2023-03-03,961.97,68,0
1,1,2023-03-10,899.42,103,0
1,1,2023-03-17,1592.94,120,1
1,1,2023-03-24,1027.64,69,0
1,1,2023-03-31,1105.9,84,0
1,1,2023-04-07,1336.31,124,1
1,1,2023-04-14,1444.97,117,1
1,1,2023-04-21,1275.74,117,0
1,1,2023-04-28,1298.78,89,0
1,1,2023-05-05,1268.35,135,1
1,1,2023-05-12,1127.06,104,0
1,1,2023-05-19,1362.04,149,1
1,1,2023-05-26,1435.99,138,1
1,1,2023-06-02,1469.28,151,1
1,1,2023-06-09,831.71,62,0
1,1,2023-06-16,1071.14,107,0
1,1,2023-06-23,1173.17,126,0
1,1,2023-06-30,952.33,84,0
1,1,2023-07-07,1627.91,195,1
1,1,2023-07-14,819.72,55,0
1,1,2023-07-21,960.9,83,0
1,1,2023-07-28,644.2,65,0
1,1,2023-08-04,1070.48,80,1
1,1,2023-08-11,885.49,61,0
1,1,2023-08-18,1001.12,67,0
1,1,2023-08-25,698.62,82,0
1,1,2023-09-01,881.02,86,0
1,1,2023-09-08,776.31,89,0
1,1,2023-09-15,605.01,49,0
1,1,2023-09-22,750.26,81,0
1,1,2023-09-29,827.4,90,0
1,1,2023-10-06,962.59,79,0
1,1,2023-10-13,721.84,71,0
1,1,2023-10-20,642.99,59,0
1,1,2023-10-27,877.17,65,0
1,1,2023-11-03,1103.71,75,0
1,1,2023-11-10,1201.17,84,0
1,1,2023-11-17,748.37,75,0
1,1,2023-11-24,1085.31,117,0
1,1,2023-12-01,1064.13,95,0
1,1,2023-12-08,937.76,72,0
1,1,2023-12-15,1555.31,110,1
1,1,2023-12-22,1284.59,109,0
1,1,2023-12-29,1413.05,145,0
1,1,2024-01-05,1148.24,78,0
1,1,2024-01-12,1276.77,94,0
1,1,2024-01-19,1264.32,110,0
1,1,2024-01-26,1594.09,135,1
1,1,2024-02-02,1628.67,182,1
1,1,2024-02-09,1928.07,131,0
1,1,2024-02-16,1734.01,118,0
1,1,2024-02-23,1575.61,132,0
1,1,2024-03-01,1258.84,128,0
1,1,2024-03-08,1796.9,203,0
1,1,2024-03-15,1644.79,160,0
1,1,2024-03-22,1737.92,154,0
1,1,2024-03-29,2080.12,177,1
1,1,2024-04-05,1730.19,115,0
1,1,2024-04-12,1750.6,132,0
1,1,2024-04-19,1207.25,133,0
1,1,2024-04-26,1776.31,170,0
1,1,2024-05-03,1462.14,140,0
1,1,2024-05-10,1510.68,122,0
1,1,2024-05-17,1974.89,145,1
1,1,2024-05-24,2005.3,138,0
1,1,2024-05-31,1328.61,106,0
1,1,2024-06-07,1541.23,103,0
1,1,2024-06-14,1459.56,173,0
1,1,2024-06-21,1704.83,191,0
1,1,2024-06-28,1391.14,111,0
1,1,2024-07-05,1985.89,137,0
1,1,2024-07-12,1169.05,89,0
1,1,2024-07-19,1934.7,153,1
1,1,2024-07-26,1024.89,90,0
1,1,2024-08-02,1681.76,161,1
1,1,2024-08-09,1299.71,101,0
1,1,2024-08-16,1298.66,156,0
1,1,2024-08-23,1143.4,80,1
1,1,2024-08-30,1372.3,108,1
1,1,2024-09-06,1322.95,90,0
1,1,2024-09-13,1800.59,136,1
1,1,2024-09-20,1124.78,94,0
1,1,2024-09-27,1279.79,110,0
1,1,2024-10-04,1426.51,130,1
1,1,2024-10-11,1143.98,110,0
1,1,2024-10-18,1333.79,120,1
1,1,2024-10-25,1189.97,137,0
1,1,2024-11-01,1638.09,130,1
1,1,2024-11-08,1393.65,171,0
1,1,2024-11-15,1033.54,110,0
1,1,2024-11-22,1644.84,117,0
1,1,2024-11-29,1142.9,90,0
1,1,2024-12-06,1426.9,143,0
1,1,2024-12-13,1389.38,139,0
1,1,2024-12-20,1602.02,111,0
