store_id,category_id,week,weekly_sales,units_sold,is_promo,region,store_type,size_sqft,is_holiday,holiday_name,temperature,fuel_price,cpi,unemployment,lag_1,lag_2,lag_4,rolling_mean_4,rolling_std_4,rolling_mean_8,week_of_year,month,year,store_type_A,store_type_B,store_type_C
1,1,2023-03-03,961.97,68,0,East,B,86181,0,,47.9,3.2,210.63,6.57,1241.62,563.35,914.53,991.535,325.0093498655076,913.0025,9,3,2023,0,1,0
1,1,2023-03-10,899.42,103,0,East,B,86181,0,,48.1,3.2,210.39,6.34,961.97,1241.62,1246.64,1003.395,322.1153588907757,952.87625,10,3,2023,0,1,0
1,1,2023-03-17,1592.94,120,1,East,B,86181,0,,56.2,3.2,210.85,6.45,899.42,961.97,563.35,916.5899999999999,278.5540951652538,913.01125,11,3,2023,0,1,0
1,1,2023-03-24,1027.64,69,0,East,B,86181,0,,58.8,3.2,210.78,6.7,1592.94,899.42,1241.62,1173.9875,316.45646602916275,1000.9625000000001,12,3,2023,0,1,0
1,1,2023-03-31,1105.9,84,0,East,B,86181,0,,59.7,3.2,211.15,6.46,1027.64,1592.94,961.97,1120.4925,319.2860056829926,1056.01375,13,3,2023,0,1,0
1,1,2023-04-07,1336.31,124,1,East,B,86181,0,,65.9,3.2,210.87,6.58,1105.9,1027.64,899.42,1156.475,303.16951094505964,1079.935,14,4,2023,0,1,0
1,1,2023-04-14,1444.97,117,1,East,B,86181,0,,66.8,3.2,210.23,6.44,1336.31,1105.9,1592.94,1265.6975,254.48011924640906,1091.14375,15,4,2023,0,1,0
1,1,2023-04-21,1275.74,117,0,East,B,86181,0,,65.8,3.2,210.73,6.48,1444.97,1336.31,1027.64,1228.705,194.81408958286335,1201.34625,16,4,2023,0,1,0
1,1,2023-04-28,1298.78,89,0,East,B,86181,0,,72.2,3.2,210.45,6.41,1275.74,1444.97,1105.9,1290.73,141.7207853492206,1205.6112500000002,17,4,2023,0,1,0
1,1,2023-05-05,1268.35,135,1,East,B,86181,0,,70.8,3.19,210.69,6.4,1298.78,1275.74,1336.31,1338.95,74.95852853411553,1247.7124999999999,18,5,2023,0,1,0
1,1,2023-05-12,1127.06,104,0,East,B,86181,0,,78.8,3.19,211.35,6.33,1268.35,1298.78,1444.97,1321.96,83.02427958133595,1293.82875,19,5,2023,0,1,0
1,1,2023-05-19,1362.04,149,1,East,B,86181,0,,78.2,3.19,211.14,6.45,1127.06,1268.35,1275.74,1242.4825,78.03193977468426,1235.59375,20,5,2023,0,1,0
1,1,2023-05-26,1435.99,138,1,East,B,86181,0,,79.7,3.2,210.79,6.31,1362.04,1127.06,1298.78,1264.0575,99.31928794717192,1277.39375,21,5,2023,0,1,0
1,1,2023-06-02,1469.28,151,1,East,B,86181,0,,79.8,3.2,210.75,6.46,1435.99,1362.04,1268.35,1298.36,133.21842890531275,1318.655,22,6,2023,0,1,0
1,1,2023-06-09,831.71,62,0,East,B,86181,0,,86.8,3.2,211.11,6.5,1469.28,1435.99,1127.06,1348.5925,154.33867464659156,1335.27625,23,6,2023,0,1,0
1,1,2023-06-16,1071.14,107,0,East,B,86181,0,,83.7,3.2,210.79,6.42,831.71,1469.28,1362.04,1274.7549999999999,298.7441737786138,1258.6187499999999,24,6,2023,0,1,0
1,1,2023-06-23,1173.17,126,0,East,B,86181,0,,83.4,3.2,211.0,6.35,1071.14,831.71,1435.99,1202.03,305.7389619702839,1233.0437499999998,25,6,2023,0,1,0
1,1,2023-06-30,952.33,84,0,East,B,86181,0,,83.9,3.2,211.34,6.42,1173.17,1071.14,1469.28,1136.325,264.10601943159145,1217.3425,26,6,2023,0,1,0
1,1,2023-07-07,1627.91,195,1,East,B,86181,1,Independence Day,86.5,3.2,211.65,6.34,952.33,1173.17,831.71,1007.0875000000001,147.69537441978488,1177.84,27,7,2023,0,1,0
